news,links
Вынесли на руках: так спасли девушку-фотографа ЦАХАЛа в Ливане,https://www.vesty.co.il/main/article/sybrnknkmg
Телефонное мошенничество: как у инвалида похитили 130.000 шекелей,https://www.vesty.co.il/main/article/bym1vonkgx
Смертельная авария после экскурсии: двое школьников погибли возле развязки Сорек,https://www.vesty.co.il/main/article/byzzpl3kgl
"В Ликуде боятся отмены праймериз: ""Нетаниягу нас всех выгонит""",https://www.vesty.co.il/main/article/4g2bpwlby
Скандал с Бен-Гвиром попал в заголовки мировых СМИ,https://www.vesty.co.il/main/article/bj25shnkzx
Израильские военные: это не последний раунд войны с Ираном,https://www.vesty.co.il/main/article/rjnjnv31gg
"""Воевать за Израиль можно, быть частью народа Израиля - нет"": история сержанта К.",https://www.vesty.co.il/main/article/hkvet11nyzl
Война или мир: о чем на самом деле говорили Трамп и Нетаниягу,https://www.vesty.co.il/main/article/hjicpwnjml
Погода на Шавуот: такого не было уже много лет,https://www.vesty.co.il/main/article/bjorz11n1mg
Источник: в Ликуде обсуждают отмену праймериз и расширение полномочий Нетаниягу,https://www.vesty.co.il/main/article/s1p92ysjgg
Взрыв дрона на юге Ливана: женщина-офицер ЦАХАЛа тяжело ранена,https://www.vesty.co.il/main/article/h1pn3fjkge
Видео Бен-Гвира с активистами флотилии: скандал разрастается,https://www.vesty.co.il/main/article/ygkm07tof
8000 шекелей в месяц и скидка на арнону: в ЦАХАЛе обсуждают новую программу для ортодоксов,https://www.vesty.co.il/main/article/s1ahido1ml
"Беннет против министра от Ликуда: ""Платит деньги преступнику""",https://www.vesty.co.il/main/article/skoqewokgl
"Жалоба на БАГАЦ признана обоснованной: судей обвинили в ""осквернении шабата""",https://www.vesty.co.il/main/article/b1oxaiikgx
Командир бронетанковой бригады ЦАХАЛа тяжело ранен дроном Хизбаллы в Ливане,https://www.vesty.co.il/main/article/b111pfhjjfx
"Трамп после разговора с Нетаниягу: ""Он сделает то, что я ему скажу""",https://www.vesty.co.il/main/article/hjur8rs1mg
"53-летнего жителя Бней-Брака зарезали в синагоге, убийца скрылся",https://www.vesty.co.il/main/article/b100003vsyge
Видео Бен-Гвира с задержанными активистами флотилии вызвало дипломатический скандал ,https://www.vesty.co.il/main/article/rktj0qsjzx
"Трамп: ""Я отменил завтрашний удар по Ирану""",https://www.vesty.co.il/main/article/skclb1kjzg
"Иранский источник: ""США проявляют гибкость на переговорах""",https://www.vesty.co.il/main/article/hjuo4i00jmx
"Трамп: ""Время для Ирана истекает""",https://www.vesty.co.il/main/article/rkzg6uv1fg
Офицер ЦАХАЛа дала интервью арабским СМИ и вызвала бурную реакцию,https://www.vesty.co.il/main/article/bkbcd8pygl
"Иран готовится к новому раунду войны: удар по ОАЭ, угрозы всему региону",https://www.vesty.co.il/main/article/hkn7u7v1gl
"США и Израиль ведут ""интенсивную подготовку"" к возобновлению войны в Иране",https://www.vesty.co.il/main/article/rjwj0obyfx
Новый приказ лидера Ирана угрожает сорвать сделку с США,https://www.vesty.co.il/main/article/kno1uhf5n
"Оценка: Иран восстанавливает свой арсенал быстрее, чем ожидалось ",https://www.vesty.co.il/main/article/rykafwh1gx
"Мусульманина, спасавшего евреев в Сиднее, шантажировали его братья",https://www.vesty.co.il/main/article/bjkokli1fe
Вылет задержали - пилот заказал пиццу для всех пассажиров прямо в самолет,https://www.vesty.co.il/main/article/rjqjzgojmg
"Вице-президент США: ""Трамп не хочет возобновлять войну, но мы к ней готовы""",https://www.vesty.co.il/main/article/sjudwmcjfg
"В Торонто ищут пропавшую 14-летнюю еврейскую девочку: есть опасение, что ее похитили",https://www.vesty.co.il/main/article/bybgf11c1ml
Шавуот и шабат: время зажигания свечей и недельная глава Торы,https://www.vesty.co.il/main/article/grm8orsay
Шабат: время зажигания свечей и недельная глава Торы,https://www.vesty.co.il/main/article/byhjzgmyml
Шабат: время зажигания свечей и недельная глава Торы,https://www.vesty.co.il/main/article/h1o0byy0ze
Шабат: время зажигания свечей и недельная глава Торы,https://www.vesty.co.il/main/article/r1xq005j0we
Из Бней-Брака - в ЦАХАЛ: Сара оставила ортодоксальный мир и начала новую жизнь,https://www.vesty.co.il/main/article/byvwqu2tbx
Шабат: время зажигания свечей и недельная глава Торы,https://www.vesty.co.il/main/article/sjyf1007twx
